Year,Rank,Title,Artist,UG_link,Chords,Harmony,Intervals,Interval_Variance,Main_Harmony,Main_Interval_Harmony
2005,1,"""We Belong Together""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/we-belong-together-chords-884422,"['Fmaj7', 'G', 'Em7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7', 'Fmaj7', 'G', 'Em7', 'Fmaj7']","[1, 2, 7, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1, 1, 2, 7, 1]","[2, -3, 1, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1, 0, 2, -3, 1]",3.5714285714285716,"(1, 2, 7, 1)","(2, -3, 1, 0)"
2005,2,"""Hollaback Girl""",Gwen Stefani,https://tabs.ultimate-guitar.com/tab/gwen-stefani/hollaback-girl-chords-1749921,"['Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7', 'Bm', 'F#m', 'D', 'E7']","[1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4, 1, 5, 3, 4]","[-5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2, -5, -5, -4, 2]",8.546925207756232,"(1, 5, 3, 4)","(-5, -4, 2, -5)"
2005,3,"""Let Me Love You""",Mario,https://tabs.ultimate-guitar.com/tab/mario/let-me-love-you-chords-176961,"['Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am7', 'Em7', 'Bb', 'F', 'C', 'G', 'Bb', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D', 'Am', 'Em', 'D', 'Dsus2', 'D']","[1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 0, 6, 3, 7, 0, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4, 4]","[-5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, 0, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -6, -5, -5, -5, 3, 4, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0, -5, -5, -2, 0, 0]",5.773588462626072,"(4, 4, 4, 1, 5)","(-5, -5, -2, 0, 0)"
2005,4,"""Since U Been Gone""",Kelly Clarkson,not found,not found,not found,not found,not found,not found,not found
2005,5,"""1, 2 Step""",Ciara featuring Missy Elliott,https://tabs.ultimate-guitar.com/tab/ciara/1-2-step-chords-5334867,"['Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Gbm', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'Am', 'Am', 'Em', 'Am']","[1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4, 1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 2, 1, 2, 1, 2, 1, 2, 1, 1, 4, 4, 1, 1, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 4]","[5, -5, 5, -5, 5, -5, 5, -5, 0, 5, 0, -5, 0, 5, 0, -5, 5, -5, 5, -5, 0, 5, 0, -5, 0, 5, 0, -5, 2, -2, 2, -2, 2, -2, 2, -2, 0, 5, 0, -5, 0, 5, -5, 0, 5, 0, -5, 0, 5, 0, -5, 0, 5, 0, -5, 0, 5, 0, -5, 0, 5, 0, -5, 5]",14.165771484375,"(1, 4, 4, 1)","(0, 5, 0, -5)"
2005,6,"""Gold Digger""",Kanye West featuring Jamie Foxx,https://tabs.ultimate-guitar.com/tab/kanye-west/gold-digger-chords-1313918,"['G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7', 'G#7', 'C#7']","[1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4]","[5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5]",24.852071005917157,"(1, 4)","(5, -5)"
2005,7,"""Boulevard of Broken Dreams""",Green Day,https://tabs.ultimate-guitar.com/tab/green-day/boulevard-of-broken-dreams-chords-137855,"['Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Fm', 'Ab', 'Eb', 'Bb', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'Eb', 'Fm', 'Db', 'Ab', 'C']","[1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 5, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 5, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 1, 3, 7, 4, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 5]","[3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, 3, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, 4, 5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, 3, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, 4, 5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, -5, 3, -5, -5, 3, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, 4]",13.101651925078045,"(3, 7, 4, 1)","(-5, -5, 3, -5)"
2005,8,"""Candy Shop""",50 Cent featuring Olivia,not found,not found,not found,not found,not found,not found,not found
2005,9,"""Don't Cha""",The Pussycat Dolls featuring Busta Rhymes,https://tabs.ultimate-guitar.com/tab/the-pussycat-dolls/dont-cha-chords-752359,"['C#', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm', 'Ebm', 'Bbm']","[1, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6, 2, 6]","[2, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5]",23.927500000000002,"(2, 6)","(-5, 5)"
2005,10,"""Behind These Hazel Eyes""",Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/behind-these-hazel-eyes-chords-186608,"['Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Am', 'C', 'Em', 'Am', 'C', 'Em', 'Am', 'C', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'Am', 'Em', 'C', 'G', 'D']","[1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 4, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 4, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 4, 1, 6, 3, 7, 4, 6, 1, 4, 6, 1, 4, 6, 1, 6, 7, 1, 6, 3, 7, 1, 6, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 4, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 3, 7, 1, 6, 4, 1, 6, 3, 7]","[-4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -3, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, -5, -5, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -3, -5, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, -5, -5, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -3, -5, -4, -5, -5, -5, 3, 4, 5, 3, 4, 5, 3, 4, -4, 2, 2, -4, -5, -5, 2, -4, 2, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -3, -5, -4, -5, -5, 2, -4, -5, -5, 2, -4, -5, -5, 2, -4, -3, -5, -4, -5, -5]",10.090679522497705,"(6, 3, 7, 1)","(-5, -5, 2, -4)"
2005,11,"""Disco Inferno""",50 Cent,not found,not found,not found,not found,not found,not found,not found
2005,12,"""You and Me""",Lifehouse,https://tabs.ultimate-guitar.com/tab/lifehouse/you-and-me-chords-162344,"['G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C', 'G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C', 'G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'C', 'G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C', 'G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'C', 'Bm', 'C', 'G', 'D', 'Em', 'Am', 'D', 'Bm', 'Cm', 'Cm/D', 'Cm/Eb', 'Cm/F', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'G', 'Am', 'C', 'Em', 'G', 'C', 'D', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'G', 'Am', 'C', 'Em', 'G', 'Em', 'D', 'G', 'C', 'D', 'G/B', 'Em', 'D', 'C', 'G', 'C', 'G/F#', 'G/B', 'Em', 'D', 'C']","[1, 4, 1, 1, 6, 5, 4, 1, 4, 1, 1, 6, 5, 4, 1, 4, 1, 1, 6, 5, 4, 1, 2, 4, 6, 1, 6, 5, 1, 2, 4, 6, 1, 6, 5, 4, 1, 4, 1, 1, 6, 5, 4, 1, 4, 1, 1, 6, 5, 4, 1, 2, 4, 6, 1, 6, 5, 1, 2, 4, 6, 1, 6, 5, 4, 3, 4, 1, 5, 6, 2, 5, 3, 4, 4, 4, 4, 1, 2, 4, 6, 1, 6, 5, 1, 2, 4, 6, 1, 4, 5, 1, 2, 4, 6, 1, 6, 5, 1, 2, 4, 6, 1, 6, 5, 1, 4, 5, 1, 6, 5, 4, 1, 4, 1, 1, 6, 5, 4]","[5, -5, 0, -3, -2, -2, -5, 5, -5, 0, -3, -2, -2, -5, 5, -5, 0, -3, -2, -2, -5, 2, 3, 4, 3, -3, -2, 5, 2, 3, 4, 3, -3, -2, -2, -5, 5, -5, 0, -3, -2, -2, -5, 5, -5, 0, -3, -2, -2, -5, 2, 3, 4, 3, -3, -2, 5, 2, 3, 4, 3, -3, -2, -2, -1, 1, -5, -5, 2, 5, 5, -3, 1, 0, 0, 0, -5, 2, 3, 4, 3, -3, -2, 5, 2, 3, 4, 3, 5, 2, 5, 2, 3, 4, 3, -3, -2, 5, 2, 3, 4, 3, -3, -2, 5, 5, 2, 5, -3, -2, -2, -5, 5, -5, 0, -3, -2, -2]",11.597888537776502,"(1, 6, 5, 4, 1, 4, 1)","(-2, -2, -5, 5, -5, 0, -3)"
2005,13,"""Don't Phunk with My Heart""",The Black Eyed Peas,https://tabs.ultimate-guitar.com/tab/the-black-eyed-peas/dont-phunk-with-my-heart-chords-196356,"['Fm', 'Eb', 'D', 'Fm', 'C', 'Eb', 'D', 'Fm', 'C', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Fm9', 'Eb', 'D', 'Fm', 'Fm9', 'Eb', 'D', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Fm', 'Fm9', 'Fm', 'Fm', 'Fm9', 'Eb', 'D', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Fm', 'Fm9', 'Eb', 'D', 'Fm', 'Fm', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Eb', 'Fm', 'Eb', 'D', 'Fm', 'C', 'Fm9']","[1, 7, 0, 1, 5, 7, 0, 1, 5, 1, 7, 1, 7, 1, 1, 7, 0, 1, 1, 7, 0, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 7, 0, 1, 7, 1, 7, 1, 1, 1, 7, 0, 1, 1, 1, 7, 1, 7, 1, 7, 1, 7, 1, 7, 0, 1, 5, 1]","[-2, -1, 3, -5, 3, -1, 3, -5, 5, -2, 2, -2, 2, 0, -2, -1, 3, 0, -2, -1, 3, -2, 2, -2, 2, 0, 0, 0, 0, 0, -2, -1, 3, -2, 2, -2, 2, 0, 0, -2, -1, 3, 0, 0, -2, 2, -2, 2, -2, 2, -2, 2, -2, -1, 3, -5, 5]",5.4035087719298245,"(1, 7)","(-2, 2)"
2005,14,"""Lose Control""",Missy Elliott featuring Ciara and Fatman Scoop,not found,not found,not found,not found,not found,not found,not found
2005,15,"""Shake It Off""",Mariah Carey,https://tabs.ultimate-guitar.com/tab/mariah-carey/shake-it-off-chords-518698,"['Bm', 'A', 'G', 'Bm', 'A', 'G', 'Bm', 'A', 'G', 'Bm', 'A', 'G', 'Bm', 'A', 'G']","[1, 7, 6, 1, 7, 6, 1, 7, 6, 1, 7, 6, 1, 7, 6]","[-2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2, 4, -2, -2]",7.346938775510204,"(1, 7, 6)","(-2, -2, 4)"
2005,16,"""Mr. Brightside""",The Killers,https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords-202646,"['C', 'C/B', 'F', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'Fmaj7', 'Am', 'G', 'C', 'Fadd9', 'Am', 'G', 'C', 'Fadd9', 'Am', 'G', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'C', 'C/B', 'F', 'Am', 'G', 'F', 'Am', 'G', 'F', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'Fmaj7', 'Am', 'G', 'C', 'Fadd9', 'Am', 'G', 'C', 'Fadd9', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G']","[1, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 4, 6, 5, 4, 6, 5, 4, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 4, 6, 5, 4, 6, 5, 4, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5]","[0, 5, -5, 0, 5, -5, 0, 5, -5, 0, 5, -5, 0, 5, 4, -2, -2, 4, -2, -2, -5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 0, 5, -5, 0, 5, -5, 0, 5, -5, 0, 5, 4, -2, -2, 4, -2, -2, -5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2, 5, 5, 4, -2]",12.727124183006536,"(1, 4, 6, 5)","(5, 4, -2, 5)"
2005,17,"""Just a Lil Bit""",50 Cent,not found,not found,not found,not found,not found,not found,not found
2005,18,"""Pon de Replay""",Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/pon-de-replay-chords-2064061,"['F#m', 'Bm', 'Dbm', 'F#m', 'F#m', 'Bm', 'F#m', 'Bm', 'Db', 'F#m', 'Db', 'B', 'F#m', 'Bm', 'F#m', 'Db', 'F#m', 'B', 'F#m', 'B', 'F#m', 'F#m', 'Bm', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'F#m', 'F#m', 'F#m', 'Db', 'F#m', 'Db', 'Bm', 'F#m', 'Bm', 'F#m', 'Db', 'F#m', 'B', 'F#m', 'B', 'F#m', 'F#m', 'Bm', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'F#m', 'F#m', 'F#m', 'F#m', 'A', 'F#m', 'Bm', 'F#m', 'Bm', 'F#m', 'Bm', 'F#m', 'Bm', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B', 'F#m', 'B']","[1, 4, 5, 1, 1, 4, 1, 4, 5, 1, 5, 4, 1, 4, 1, 5, 1, 4, 1, 4, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 5, 1, 5, 4, 1, 4, 1, 5, 1, 4, 1, 4, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 3, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4]","[5, 2, 5, 0, 5, -5, 5, 2, 5, -5, -2, -5, 5, -5, -5, 5, 5, -5, 5, -5, 0, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 0, 0, 0, -5, 5, -5, -2, -5, 5, -5, -5, 5, 5, -5, 5, -5, 0, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 0, 0, 0, 0, 3, -3, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5, -5, 5]",20.69065743944637,"(1, 4)","(5, -5)"
2005,19,"""How We Do""",The Game featuring 50 Cent,not found,not found,not found,not found,not found,not found,not found
2005,20,"""Beverly Hills""",Weezer,not found,not found,not found,not found,not found,not found,not found
